File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|30719|4096|1|257|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|280576|512|1|4358149|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|30719|4096|1|257|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|280576|512|1|4358149|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|30719|4096|1|257|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|280576|512|1|4358149|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|30719|4096|1|257|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|280576|512|1|4358149|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|30719|4096|1|257|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|280576|512|1|4358149|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
4|417627|512|1|6675381|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|208845|512|1|3315029|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|401624|512|1|33|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|401561|512|1|33|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|449757|512|1|7167573|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|30719|4096|1|257|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|280576|512|1|4358149|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|30719|4096|1|257|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|280576|512|1|4358149|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|30719|4096|1|257|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|280576|512|1|4358149|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|30719|4096|1|257|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|280576|512|1|4358149|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|30719|4096|1|257|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|280576|512|1|4358149|0

File sys|Clusters|Cluster size|Endian|Metadata|Flags
1|30719|4096|1|257|1

File sys|Clusters|Cluster size|Endian|Metadata|Flags
8|280576|512|1|4358149|0

